,Company_Type,Company_name,Company_link,Market_cap,Current_Price,High,Low,P_E,Book_Value,Dividend_Yield,ROCE,ROE,Face_Value,Sales_growth,Up_from_52w_low,Industry_PE,No_Eq_Shares,Sales_growth_3Years,Down_from_52w_high,RSI,EPS_latest_quarter,From_52w_high,Debt_to_equity,Tiker_name
31,Auto Ancillaries companies,JBM Auto,https://www.screener.in/company/JBMA/consolidated/,"17,314","1,464","1,608",482,127,90.1,0.09,11.8,12.9,2.0,9.31,204,32.7,11.8,25.6,8.92,68.4,3.74,0.91,1.93,JBMA
32,Auto Ancillaries companies,Amara Raja Ener.,https://www.screener.in/company/ARE&M/,"13,938",816,831,546,17.4,331,0.75,20.2,14.8,1.0,7.93,49.4,32.7,17.1,14.9,1.83,70.2,12.6,0.98,0.02,ARE&M
33,Auto Ancillaries companies,Craftsman Auto,https://www.screener.in/company/CRAFTSMAN/consolidated/,"11,422","5,406","5,514","2,699",38.3,721,0.21,20.6,19.8,5.0,48.1,100,32.7,2.11,28.7,1.95,62.0,44.8,0.98,0.99,CRAFTSMAN
34,Auto Ancillaries companies,Bombay Burmah,https://www.screener.in/company/BBTC/consolidated/,"10,984","1,574","1,590",781,41.2,572,0.08,15.5,-70.0,2.0,8.91,102,32.7,6.98,11.8,1.01,67.8,17.5,0.99,1.39,BBTC
35,Auto Ancillaries companies,Minda Corp,https://www.screener.in/company/MINDACORP/consolidated/,"9,234",386,404,185,33.2,78.5,0.31,16.5,19.6,2.0,14.8,109,32.7,23.9,24.6,4.45,57.8,2.46,0.96,0.41,MINDACORP
36,Auto Ancillaries companies,Varroc Engineer,https://www.screener.in/company/VARROC/consolidated/,"8,467",554,589,239,50.9,67.7,0.00,8.13,-55.9,1.0,7.52,131,32.7,15.3,-14.9,5.88,61.0,3.55,0.94,1.39,VARROC
37,Auto Ancillaries companies,Rolex Rings,https://www.screener.in/company/ROLEXRINGS/,"6,863","2,520","2,550","1,622",35.3,308,0.00,31.8,30.8,10.0,12.4,55.4,32.7,2.72,21.0,1.17,66.1,17.2,0.99,0.05,ROLEXRINGS
38,Auto Ancillaries companies,Shriram Pistons,https://www.screener.in/company/SHRIPISTON/consolidated/,"6,414","1,456","1,566",491,16.9,394,0.34,24.7,20.8,10.0,18.4,197,32.7,4.40,17.5,7.02,82.0,25.8,0.93,0.19,SHRIPISTON
39,Auto Ancillaries companies,ASK Automotive,https://www.screener.in/company/ASKAUTOLTD/consolidated/,"5,727",290,320,271,46.7,,0.00,20.3,19.2,2.0,26.9,7.04,32.7,19.7,15.8,9.19,51.7,2.09,0.91,0.61,ASKAUTOLTD
40,Auto Ancillaries companies,Gabriel India,https://www.screener.in/company/GABRIEL/,"5,647",393,444,129,37.1,65.1,0.65,22.0,16.2,1.0,10.8,204,32.7,14.4,16.7,11.4,45.3,3.27,0.89,0.01,GABRIEL
41,Auto Ancillaries companies,Suprajit Engg.,https://www.screener.in/company/SUPRAJIT/consolidated/,"5,628",407,447,315,38.3,91.9,0.57,15.3,13.2,1.0,18.5,29.0,32.7,13.8,20.8,9.0,67.6,2.51,0.91,0.57,SUPRAJIT
42,Auto Ancillaries companies,Sansera Enginee.,https://www.screener.in/company/SANSERA/,"5,460","1,019","1,048",697,34.3,237,0.25,14.7,13.5,2.0,14.0,46.2,32.7,5.36,18.3,2.8,73.8,8.56,0.97,0.5,SANSERA
43,Auto Ancillaries companies,Pricol Ltd,https://www.screener.in/company/PRICOLLTD/consolidated/,"4,630",380,393,174,38.1,63.1,0.00,20.1,18.3,1.0,18.5,118,32.7,12.2,16.5,3.35,64.3,2.72,0.97,0.12,PRICOLLTD
44,Auto Ancillaries companies,Shanthi Gears,https://www.screener.in/company/SHANTIGEAR/,"4,607",600,624,317,60.5,42.6,0.83,32.1,23.8,1.0,21.9,89.6,32.7,7.67,22.5,3.84,71.0,2.74,0.96,0.0,SHANTIGEAR
45,Auto Ancillaries companies,Banco Products,https://www.screener.in/company/BANCOINDIA/consolidated/,"4,571",639,676,190,16.1,146,3.44,25.8,23.9,2.0,22.1,237,32.7,7.15,17.9,5.49,65.2,9.24,0.95,0.38,BANCOINDIA
46,Auto Ancillaries companies,Jamna Auto Inds.,https://www.screener.in/company/JAMNAAUTO/consolidated/,"4,455",112,127,94.2,23.5,21.0,1.70,27.5,22.9,1.0,10.9,18.6,32.7,39.9,27.2,12.1,56.4,1.26,0.88,0.08,JAMNAAUTO
47,Auto Ancillaries companies,Steel Str. Wheel,https://www.screener.in/company/SSWL/,"4,068",259,299,126,21.3,78.2,0.39,21.4,18.6,1.0,2.50,105,32.7,15.7,37.2,13.3,35.3,3.35,0.87,0.68,SSWL
