,company_url,Market_cap,Current_Price,High,Low,P_E,Book_Value,Dividend_Yield,ROCE,ROE,Face_Value,Sales_growth,Up_from_52w_low,Industry_PE,No_Eq_Shares,Sales_growth_3Years,Down_from_52w_high,RSI,EPS_latest_quarter,From_52w_high,Debt_to_equity
420,https://www.screener.in/company/RAMCOCEM/consolidated/,22461.0,951.0,1058.0,636.0,64.5,298.0,0.21,6.48,4.65,1.0,34.1,49.5,31.4,23.6,14.8,10.1,36.5,3.05,0.9,0.72
421,https://www.screener.in/company/MAPMYINDIA/consolidated/,10642.0,1967.0,2344.0,983.0,86.0,113.0,0.15,27.4,21.7,2.0,29.7,100.0,39.3,5.41,23.7,16.1,43.2,5.69,0.84,0.04
422,https://www.screener.in/company/BSE/consolidated/,31105.0,2298.0,2595.0,406.0,89.4,229.0,0.52,13.2,8.65,2.0,28.8,466.0,38.7,13.5,15.2,11.5,53.2,8.9,0.89,0.0
423,https://www.screener.in/company/VAIBHAVGBL/consolidated/,8105.0,488.0,493.0,269.0,67.1,73.9,1.23,11.1,9.02,2.0,2.56,81.5,37.1,16.6,10.6,1.11,73.0,1.78,0.99,0.15
424,https://www.screener.in/company/PERSISTENT/consolidated/,59795.0,7763.0,7898.0,3916.0,59.6,574.0,0.52,30.3,25.3,10.0,29.8,98.2,39.3,7.69,32.8,1.7,73.6,34.2,0.98,0.13
425,https://www.screener.in/company/EPL/consolidated/,6301.0,198.0,236.0,147.0,25.0,63.0,2.17,12.2,11.9,2.0,7.97,34.5,24.8,31.8,10.2,16.3,48.3,1.59,0.84,0.46
426,https://www.screener.in/company/HDFCBANK/consolidated/,1128798.0,1486.0,1758.0,1460.0,19.1,519.0,1.28,6.24,17.1,1.0,58.6,1.77,14.4,759.0,11.8,15.4,25.8,22.7,0.85,7.39
427,https://www.screener.in/company/MUTHOOTFIN/consolidated/,55421.0,1380.0,1537.0,911.0,13.9,570.0,1.59,12.1,17.9,10.0,13.3,51.5,22.1,40.2,7.1,10.2,35.4,26.4,0.9,2.73
428,https://www.screener.in/company/BATAINDIA/consolidated/,19487.0,1517.0,1771.0,1381.0,62.0,109.0,0.89,19.6,19.8,5.0,5.39,9.84,57.2,12.8,4.14,14.4,28.9,2.64,0.86,0.9
429,https://www.screener.in/company/GMMPFAUDLR/consolidated/,6774.0,1508.0,1898.0,1350.0,35.4,207.0,0.13,22.0,24.9,2.0,22.6,11.7,38.0,4.5,75.2,20.5,41.6,15.8,0.79,1.06
430,https://www.screener.in/company/SHREECEM/consolidated/,95515.0,26477.0,29250.0,21410.0,52.3,5403.0,0.38,8.51,6.98,10.0,17.1,23.7,37.0,3.61,11.5,9.48,38.0,124.0,0.91,0.1
431,https://www.screener.in/company/REDINGTON/consolidated/,13814.0,177.0,196.0,136.0,11.1,88.2,4.07,24.9,21.9,2.0,24.6,29.9,51.4,78.2,15.5,9.72,54.7,3.88,0.9,0.48
432,https://www.screener.in/company/DEVYANI/consolidated/,22121.0,183.0,228.0,134.0,104.0,8.59,0.0,18.4,33.9,1.0,20.4,36.9,113.0,121.0,25.5,19.5,40.2,0.28,0.81,1.63
433,https://www.screener.in/company/POLYMED/consolidated/,13925.0,1451.0,1677.0,820.0,59.6,139.0,0.21,18.3,14.8,5.0,23.6,76.9,48.1,9.59,17.5,13.5,43.7,6.48,0.87,0.1
434,https://www.screener.in/company/IDFC/consolidated/,19824.0,124.0,137.0,72.8,30.9,75.8,0.0,-24.4,-25.3,10.0,14.3,70.0,22.1,160.0,-23.3,9.6,50.1,1.4,0.9,0.0
